書名,作者,分類,狀態,按讚數,出版社,tag,,,,,連結,簡介
對手被隕石砸死難道是我的錯嗎？(01)主角威能,南翁,奇幻科幻,完結,140,飛燕文創,奇幻,科幻,,,,https://mojoin.com/novels/2942,"主角柯恩出生於「胡蘭王國」邊境的小村莊，故事敘述他遵從父親遺命，
以騎士為志願前往胡蘭王國首都，最後卻成為護國大法師、召喚術士、死靈法師、光明祭司的史詩故事（？）。
柯恩的個性大而化之，但有一件事情他始終耿耿於懷──為什麼每個對手通通都會死於非命？

喝水被嗆死、踩到水坑滑倒摔死，甚至是被隕石砸死！就是沒有人能跟他打到最後。
什麼？你說這樣很幸運？但柯恩可不這麼想，他練出強健的體魄、堅忍不拔的意志、舉世無雙的劍技，
卻始終無法與人進行一場真正的決鬥，就像是滿肚子的大便到了肛門邊卻永遠拉不出來一樣慘！

慘！慘！慘！

而這一切的開端，就要從那個在與柯恩對決時，被隕石砸死的魔龍開始說起……"
失去身體的我成為了幽靈鎧甲冒險者,霜楓,奇幻科幻,完結,30,原創星球,冒險,架空,異界,,,https://mojoin.com/novels/673,"在與強大魔物的對戰中我與摯友都變成重傷，在只能讓一個人存活的狀態下，摯友將生命力全都給予了我……
但是……沒想到我還是變成了幽靈鎧甲？
變成幽靈的我追尋著理應死亡的友人的軌跡，重新踏上了冒險的旅程。"
黑貓白白,蒔九,奇幻科幻,完結,180,原創星球,妖怪,傲嬌,溫馨,架空,,https://mojoin.com/novels/3616,"黑貓白白，毛皮油光水滑，營養充足，四肢纖長靈活，貓型倒三角臉上健康黝黑的鼻子，還有一雙碧綠靈動的眼眸，平時靜如處子、動如脫兔、能屈能伸、賣萌、冷豔兼具一身，偶爾還要充當心靈導師的角色，牠敢說，像牠這樣一身才華洋溢又顏值兼具的角色在喵界也是鳳角鱗毛的稀缺貨。
為什麼不說獨一無二？做人......唔......當貓還是得要謙虛一二才能討人喜愛啊，看看，牠還知書達禮。"
遊戲結束之前02–支配禁止–,草子信,奇幻科幻,完結,208,三日月書版,奇幻,遊戲,驚悚推理,,,https://mojoin.com/novels/3805,"生存守則②：敵人和朋友，只有一線之隔。

高智商玩家╳偏執系犯罪者
殺戮、生存、信任、背叛，歡迎一起加入這場死亡遊戲──

隨著鑰匙爭奪任務開啟，島中隱藏的陰謀也逐漸顯露獠牙。玩家「盟友」的意外邀約，神祕敵人的殘酷追殺，當死亡的腳步不斷迫近，左牧只能依循紛亂線索的指引，來到一座無人的廢棄之「巢」……

而等待在前方的，究竟是敵，抑或是友？「你不應該太相信別人，左牧先生。」"
《蛛網：織繭》,LKK,奇幻科幻,完結,600,原創星球,虐心,末世,架空,,,https://mojoin.com/novels/3619,迪薩斯特大陸，這是一片蜘蛛站在食物鏈頂端的詭異黑色大地。而在天空中漂浮著一座都市‧天空城。上頭居住著名為「鑄光師」的第三勢力，他們與人類結成同盟，欲扭轉被蜘蛛統治的命運──卻又在多年前的戰爭中落敗。但蜘蛛方也同樣蒙受了不少損傷而撤退，三方從此陷入了恐怖平衡的態勢。而在這五百年的和平下，命運卻悄悄地開始轉動。蜘蛛為了「徹底毀滅人類」而準備再次出擊，打破平衡。人類為了「保全種族的存續」不得不拿起武器抗爭。鑄光師則為了「神的旨意」，劍指這世界上唯一的仇敵。時間彷彿回到了五百年前那劍拔弩張的時刻。然而自由意志卻早已不再自由。那上頭纏繞著一層又一層蛛絲，猶如織繭般緊緊綑縛──
不聽吸血鬼的話，就會被咬喔！(03)獵人之子,子陽,奇幻科幻,完結,42,飛燕文創,奇幻,,,,,https://mojoin.com/novels/2425,"「你就是我的弱點！」
浴室傳來令人遐想的聲音，純血族的「耀升之星」——米季，正在享受他家新娘的服務。
現任家主米蘿對米御下了誅殺令，米御走到哪兒都被晚輩埋伏，他被妹妹通緝、被兒子封印、被孫子拒絕一起去吃甜點，韓昭明不知道他做人可以失敗到什麼地步，但當「世界末日」來臨，他居然有✕✕米御的衝動!?
「以下稱立約人米御為甲方，韓昭明為乙方……」
韓昭明看到第一行就傻眼了，這種像business man在簽的，到底是什麼？
跟他想像的「新娘契約」不一樣。
不是應該「無論是好、是壞，直到死亡將我們分開」嗎？"
饕餮食堂(01)神獸轉生,逢時,奇幻科幻,完結,30,飛燕文創,奇幻,科幻,,,,https://mojoin.com/novels/2913,"杜櫻恨不得把寄生在身上的饕餮食怪趕出去，
這隻妖怪害她成天吃個不停，還捲進一連串的妖怪殺人事件。
天哪！這座城市裡的妖怪怎麼這麼多？
不管是上市集買菜、進咖啡館聽歌、躲在警察局裡頭，
全都能遇見妖怪喔！

肉片一接觸鐵網，就發出滋滋的聲音，還散出微微的香氣，肉片上常青抹了奶油，有種奶味隨著肉香一起燻烤，空氣中都是勾引人食慾的味道。
鐵盤上的肉片翻了一面，留下格菱紋狀的痕跡，肉慢慢熟了，變成淺淺的褐色，還帶點金黃色的奶油。

妖怪美食圖鑑，食堂日日上菜。
深夜嚴禁翻閱，否則後果自負。"
一擊必殺的不敗聖劍(01)聖劍英雄的黎明,雷明,奇幻科幻,完結,1,飛燕文創,奇幻,科幻,,,,https://mojoin.com/novels/3412,"聖劍英雄伊吉，橫空出世！

人類為了要搶回被亞獸吞沒的世界，分別建立了兩大機構：戰校和學院。妄想成為世界大英雄的伊吉，在某次機遇中撿到了一把名為龍吼之淵的機聖武裝劍，成為了曉星戰校的學生。

然而，伊吉的行事作風，比起像個英雄，不如說更像個魔王，不僅攻擊學校守衛，亂轟光束炮，挑釁老師，甚至誤入女子更衣室，不小心看到女同學更衣，因此還惹上了女同學的姐姐，全校最暴力的惡霸女──琴凱琳。

「就是他吧？妳說的那個男朋友，看起來很弱的樣子。」
「妳說誰很弱呀，金毛矮冬瓜，我可是未來要成為大英雄的人，伊吉，妳最好給我記住了。」
「金毛矮冬瓜！你居然叫老娘矮冬瓜！給老娘去死啦啦啦！」
於是，在大斧頭和刀劍互擊聲響下，伊吉的戰校生活和英雄之旅正式展開！"
Destiny 光與影的羈絆(01)黑與白的交織,翼翎,奇幻科幻,完結,190,飛燕文創,奇幻,科幻,,,,https://mojoin.com/novels/3312,"大陸十一年一次的創末祭典在東大陸劍都正式展開，來自四方的強者齊聚一堂，全都是為了爭奪那最高的榮耀！但這次的祭典跟以往有些不太一樣……
烙印著滅世之咒的犧牲者、神祕的黑色處刑者、四大家族的信仰者、充滿罪障的贖罪者、背負著魔族最高死罪烙印的命運者……以及埋藏於罪惡紅夜中那最卑微的願望，全都隨著那人的出現而浮現於眼前。
曾經犯下不可饒恕的錯，曾經親手抹滅那人的存在，當那失去的羈絆再次回歸，他們想說的何止千言萬語，然而卻一個字也說不出口。
「初次見面，我是曉梧．蘭帝。」
那人的笑以及話語在瞬間打碎了他們長久以來的等待及希望。
就如同這個世界沒有所謂的如果，一切都不可能再從頭了。
對不起──並不是每一次都可以被原諒的。"
舞弦者‧紫(01)〈Mission 1〉紅之夢魘,楚慕風,奇幻科幻,完結,0,飛燕文創,奇幻,科幻,,,,https://mojoin.com/novels/3543,"《舞弦者‧紫》Mission 1.劇情簡介

你所知道的，盡是虛假；你將看到的，才是真實！
以此作扉言的一篇文章，引發了一系列「意外」的悲劇，也打開了一扇未知世界的大門：在這個世界裡，有平時看來與常人無異的妖魔，也有追緝妖魔的狩獵者，貫穿了整個人類歷史的隱秘戰爭，背後卻潛藏著令人畏懼的真相！
還有那些和這個世界一樣精彩的人們：因為一篇文章叛出狩獵者的血腥屠夫「龍」，險些慘死妖刀之下卻又莫名其妙成為它主人的菜鳥復仇者「紅」，當然，絕不能忘記那個成就傳奇之後功成身退、隱居在香港做咖啡店老闆娘的美麗女人……
無論是妖魔還是狩獵者，都敬畏地稱其為──舞弦者‧紫！"
蜂舞(09)再次改版,貓邏,奇幻科幻,完結,50,飛燕文創,奇幻,科幻,,,,https://mojoin.com/novels/3372,"被坑了！被坑了！被坑了！
他們竟然被ＮＰＣ坑了！
＃會坑人的ＮＰＣ不是好ＮＰＣ！嚶嚶嚶……
第二次改版任務全滅！
──雖然說改版任務本來就是要失敗才會改版，可是他們還是想要轟轟烈烈地戰一場啊！
結果竟然……
傑昂佩爾！下次別讓我們遇見你！

※　※　※

方宛擺出霸道總裁酷帥狂霸跩的姿態，對鐵皮人笑得張揚明媚。
「鐵皮人，我允許你喜歡我！」
鐵皮人：「……」
林華和司空龍：「……」
臥槽！這自戀的傢伙是誰啊？
＃這絕對不是我家小妹！
＃進了船屋以後小妹的畫風都變了！這船屋有毒！"
月下紅星,LKK,奇幻科幻,完結,310,原創星球,女主,騎士,戰爭,,,https://mojoin.com/novels/3631,"這是在「破碎的紅寶石」戰爭六年前所發生的事。
弗莉狄‧安翠在這一年成為了達莫奈特帝國史上最年輕的騎士，受盡年輕人的推崇。
但這卻只是一切的開端。
達莫奈特帝國的皇帝，有「改革帝」之稱的莫迪恩‧達莫奈特三世在國會中宣布即將發動戰爭，貴族與軍團之間頓時捲入了主戰派和反戰的漩渦之中。
而在這兩派的人馬卻將矛頭指向這位剛竄起的新科騎士。
因為她是年輕人的偶像，而這極有可能帶動年輕一派的走向。
也因此她被捲入了兩派的鬥爭裡無法脫逃……

＊

──妳可曾聽過那月下的紅星？
──沒有。但不覺得那種誇飾的稱呼很好笑嗎？我們將晚霞稱作「祖奈特的嘆息」；洛索達人將夜晚的銀河稱為「弗洛斯的鏡畫」？明明我們已經可以解釋這些景色，但常人卻寧願將其冠上四神的名諱，好像會讓祂們離我們更近一點。真的很好笑。
──唉呀？妳明明是一個賊，結果卻比我想像的還要聰明呢。
──妳明明是受改革帝敕封的騎士，卻比我想像的還要愚鈍。
──呵，也許我真的很笨吧。不過我還是相信哦，相信那月下的紅星。雖然有很多版本，但我最喜歡形容它是祖奈特神的淚珠。
──妳果然是笨蛋吧？
──我是浪漫，妳這白痴！"
異魂變01 新生,東邦,奇幻科幻,完結,0,飛燕文創,奇幻,科幻,,,,https://mojoin.com/novels/3646,"他，一個只有編號，被組織出賣的殺手。在面臨死地，爆發強烈生存慾望的他，靈魂無意受到某種力量牽引，來到另一個世界，附身於一個剛自殺身亡的軀體──從此，他真正擁有了自己的姓名！
靈魂力是這個世界基本的力量，偏偏他附身的宇文翼，身軀不僅體弱，更不具有靈魂力；但在柳澤醫師的「幫助」下，他重新擁有開啟身體靈魂力的鑰匙。只不過，他需要付出一點代價……
他取代宇文翼，重新回到學院，面臨的第一件事，竟是被人欺負？當他找到機會報復時，卻不小心害錯人，反而被高高在上的學生會長抓到把柄，被強迫加入學生會。
學生會的光環太耀眼，破壞了他原本想過的平靜新生活，而擁有天使笑臉的學生會長，根本就是個愛指使人的小惡魔！學生會長甚至丟了莫名其妙的任務給他，要他限時完成──
突然間，他有種烏雲罩頂、前途無亮的衰運感，而且一時之間絕對散不了！"
龍之聲系列　第一部：被埋葬的說書人,靈魂錯亂,奇幻科幻,完結,15,原創星球,長篇,熱血,奇幻,冒險,異世界,https://mojoin.com/novels/640,這是一個因夢而開始的故事，這個故事因夢而進行著，然後現在──
罪與德,棠巢栗子,奇幻科幻,完結,0,原創星球,懸疑,,,,,https://mojoin.com/novels/515,"七宗罪，為人類惡行的分類。
分別為憤怒、貪婪、色慾、忌妒、傲慢、暴食、怠惰。
在這個世界裡，天神會選擇七位大罪人分別對應七宗罪。
***
棠巢栗子既「Lost Heart」之後，再度與繪師Ao合作，「罪與德」黑暗上架。
社會現實的黑暗面與奇幻異能題材結合，降罪連載。

「罪」的出現，往往都是由另一種罪所逼迫形成。
「德」就真的是正義的那方嗎？

故事講述在西元1977年的時候，天神第一次降罪了七位大罪人「七宗罪」。
而有一群私人教會發起了天罰，為了將七宗罪徹底消滅掉。
殊不知，天神每七年就會降罪一次七宗罪。
而教會也是為了替天行道，使用了民間武力天罰了他們所認為的七宗罪。
就在某次天罰之時，沾滿大罪人鮮血的教徒們得到了獨特的異能力。
隨著教會得到超越人類的力量，人們開始畏懼著教會，而教會也越來越放肆。
直到西元2019年，第六次降罪到來。
只不過這次被降罪成七宗罪的人不在只是單方面被教會屠殺，
他們也擁有了可以與教會抗衡的能力。"
我們班的野良貓同學（上）貓妖的詛咒,鬱兔,奇幻科幻,完結,0,飛燕文創,奇幻,科幻,,,,https://mojoin.com/novels/2851,"邊緣少年楊哲瑋被貓詛咒，將會漸漸變成一隻貓！

當天，他沒覺得有什麼異狀，但班導師早點名的時候，他卻不自覺地發出了「喵」來回答本來的「有」，而引起班上哄堂大笑……
因意外撞到他暗戀的校花蘇小薇，但蘇小薇有嚴重的恐男症，很怕跟男生有任何的肢體接觸，就在楊哲瑋以為完蛋的時候，她卻意外地主動搭話……
楊哲瑋發現自己的感知能力變強，能知道遠處的動靜，出門買東西時，居然遠遠聞到蘇小薇的味道，然而正期待著不期而遇的時候，卻是一隻哈士奇朝他衝了過來……
因這陣子與蘇小薇走得太近，而被不明人士惡作劇，事後楊哲瑋被蘇小薇發好人卡，卻反而與惡作劇同學成為朋友，但他的目的是為了接近蘇小薇……
不過因為楊哲瑋和惡作劇同學突然關係變好，讓班上的腐女們想入非非，甚至提議要在園遊會的時候舉辦女僕咖啡廳，還讓楊哲瑋當看板娘……
園遊會時，貓研社的學姊小婕也來湊熱鬧，而楊哲瑋與小婕的親密互動使蘇小薇有點在意，也許愛情正悄悄地萌芽了……"
我的網遊生活怎麼跟想像中的不一樣？,睦方,奇幻科幻,完結,16,獨家原創,奇幻,科幻,,,,https://mojoin.com/novels/2986,"線上遊戲，曾經是方逸喬沒想過的一個世界，
直到被朋友們連拖帶拉的，才開始嘗試踏入了網遊世界，
誰知道，玩個網遊也能讓一直平淡的生活有了不同的波瀾。

可以不要讓我遇到傻眼又無奈的事情嗎？

我只是想輕鬆玩個遊戲，第一次遇到讓人想穿過螢幕揍死他的人……
當個小透明，舒心自在有這麼難嗎？QQ"
不聽吸血鬼的話，就會被咬喔！(02)銀狼之跡,子陽,奇幻科幻,完結,203,飛燕文創,奇幻,,,,,https://mojoin.com/novels/2424,"「你想射我，就要瞄準。」
韓昭明拿槍指著米御，扣下了扳機，子彈卻沒有打進米御的身體；韓昭明狠不下心殺米御，米御也捨不得傷害韓昭明，但米御卻做了一件讓韓昭明憤而離家的事……
身為一個人類，韓昭明雖不討厭「那種感覺」，但這樣說上就上——噢，他是說湊上，被米御的嘴唇湊上——未免太容易了吧？做人要多一點堅持，才不會被對方吃得死死的！
下一秒……
韓昭明覺得有點痛，舌頭在痛，他不小心咬到啦！
作者保證：這集有更多的咬咬和舔舔。
編輯點評：對付吸血鬼，請準備抹茶巧克力並點滿瑜珈屬性！"
闇騎士Ⅱ(04)隱居魔族大遷徙,暮辰,奇幻科幻,完結,0,飛燕文創,奇幻,科幻,,,,https://mojoin.com/novels/3546,"先有巫妖王，次有聖輝天使，隨後還有眾多魔族正在蠢蠢欲動？
在國家任務終於有了下文的這天，連場大戰接二連三，彷彿命運之神也卯足了勁要與洛特分個高低！
頻繁的戰鬥，終於讓血紅六翼的輝煌，重新綻放人間。
然而，強大的力量也挽不回即將逝去的生命，洛特唯有狠下辣手，將奇蹟寄望在馮勒的召喚魔法陣上……傾聽召喚的彼端生靈，又會是何方神聖？"
神月online(02)試煉之路,禾惠,奇幻科幻,完結,15,飛燕文創,奇幻,科幻,,,,https://mojoin.com/novels/3334,"結識了強力夥伴的冥夜，為了龍王硬塞給他的超麻煩任務，不得已前往大城鎮尋求解決問題的辦法，卻不知在自己看不見的地方，某個重要存在正面臨生死危機……

除了提防暗處逼近的惡意，還要面對各種自己找上門的麻煩，甚至還得拋頭露面參加官方舉辦的PK賽？

這……這全部都要怪那個白癡龍王啊！（怒！）"
冷月FrostyLuna(01)如果不是你的話，這一切就不會發生了啦！,違天,奇幻科幻,完結,0,飛燕文創,奇幻,科幻,,,,https://mojoin.com/novels/3459,"地球要爆炸了！我們還有……五集的時間可以跑？
來自異界的黑暗精靈塔伊拉率領一票黑暗精靈進攻地球，而塔伊拉的妹妹莉諾雅因為想要阻止他，勸他打消佔領地球的念頭，也跟著到了地球，沒想到勸說不成還被一路追殺到我房間？
在陰錯陽差之下，我跟著莉諾雅來到了傳說中的異界！不但看到了黑暗精靈，還碰上了個有雙重人格的美少女跟一票想把我抓去解剖的地球愛好協會成員！到底地球的命運……誰理他啊？到底我的命運會怎麼樣呢？"
神器物流宅配中！,帝華席亞,奇幻科幻,完結,488,原創星球,靈異,微腐,戰鬥,,,https://mojoin.com/novels/2922,"「您好，我們是神器配送公司祀玉社！」
不良高中生周恆某天在睡夢中落入地府，
看見忙翻天的城隍爺，這才得知配送兵器的外送員辭職了，
周恆在百般無奈之下，成為臨時派遣工。
上出天庭，下奔地府，被神明使喚的跑腿的職場生活裡，
周恆與未知的全新世界有了交集──
面癱毒舌的古扇，
極度自戀的關刀，
軟弱封閉的風火輪，
當境界線開始模糊的剎那，
日常與非日常交織的奮鬥物語華麗登場！"
月夜之歌～拾光裡有你～(01),蔚海,奇幻科幻,完結,90,飛燕文創,奇幻,科幻,,,,https://mojoin.com/novels/3504,"震驚！〈晌午拾光〉看上那小公會的原因竟是因為她──！？

頌頌花在個人賽中，打了第101名這個「好成績」，
與高額獎金擦肩而過的她，沒能抄捷徑買回自己被盜走的稀有武器。

然而一波未平一波又起，在絕望的同時，
他們的公會即將被大名鼎鼎的〈晌午拾光〉併吞？

和副會長昭光解副本的視頻被推上了論壇，還被湊成了CP？

然後在讓朋友替她登入帳號的時候，一個猝不及防地就被他告白了？

網遊人生一百八十度大轉變……
但她只想好好賺錢啊嗚嗚嗚！"
精靈之歌,莓果醬,奇幻科幻,完結,0,原創星球,戀愛,戰鬥,異界,,,https://mojoin.com/novels/719,"百年前的戰爭畫下句點，後面的陰謀卻才剛開始，各族看似和平的表面下其實是暗潮洶湧。
百年後，一個名叫艾薇的神秘少女，隱身一人踏進了那偽裝亂的漩渦中，一步步解開那些被埋藏的真相
而她，真正的身分是⋯⋯？"
格林遊戲,壹那由他,奇幻科幻,完結,13,原創星球,推理,懸疑,,,,https://mojoin.com/novels/142,"不小心加入死亡遊戲，結果第一局就被妹妹打敗，從此躺著給大神罩…… 如果只是這樣，就是個幸福的故事了呢 * * * 林格下載了一款以格林童話為主題，含有益智兼育成要素的手遊，原以為只要解謎養妹子，想不到原來是奪魂鋸系兼超能力系…… 不僅要解謎、猜謎，在遊戲中死了現實也會死亡！ 要勝利，就要活用知識及善用源於童話故事守護靈的能力，猜出敵人的童話，或是殺死對方。
「知名度高的童話容易被論斷，但是同時守護靈也很厲害，反之亦然。」 「反之亦然……靠不就是妳弱爆了嗎？」 「所以我只有你了。」 「……」
幸好，林格在第一場挑戰就輸給親妹林歲安，從此林格變成附庸，跟隨大神林歲安，踏上完成霸業之路。 ……如果這是如此輕鬆愉快的故事就好了。"
菜鳥之王(01)死性難改,某宅,奇幻科幻,完結,2,飛燕文創,奇幻,科幻,,,,https://mojoin.com/novels/3437,"自建立以來，為世界提供無數頂尖人材，推動著世界發展的育成機構──地球聯合最高人力資源培訓學院，俗稱王之庭。
為了和妹妹相見，我，蕭子楓隻身來到了這雲集各界精英的人工島上。
「我不認識你！」被妹妹當成陌生人。
「現在怎麼辦？」被奇怪的妹妹依賴。
「有話留到地獄跟閻王說吧……」被不是妹妹的傢伙追殺。
「即使大哥哥叫破喉嚨也不會有人來救你！」被看似妹妹的姐姐綁架。
即使受盡苦難，為了妹妹，一切都是值得的！
只要不放棄希望，努力前進，絕對能到達妹妹所在的地方！"
闇騎士Ⅱ(06)魔隱宮遺址攻略,暮辰,奇幻科幻,完結,0,飛燕文創,奇幻,科幻,,,,https://mojoin.com/novels/3557,"飯可以亂吃、話可以亂說、人絕對不能亂救！
洛特用血淋淋的教訓，換回了這句至理名言。他也料不到，因為一時貪圖省事，想抓幾個壯勞力代工，結果盯錯了人、多管了事，這會變成人家的代罪羔羊，被偷襲一把，再度醒來赫然驚覺──
他竟然躺在魔王眼皮子底下！
難道明天的今天，就該是戰地殺神的忌日？"
業火少女七奈,一真,奇幻科幻,完結,2,原創星球,傲嬌,骨科,戰鬥,青春,克蘇魯,https://mojoin.com/novels/3637,"被全班遺忘的少女是操火使，家裡蹲的妹妹是夢之巫女……而這一切，都是克蘇魯的呼喚。
傲嬌少女X兄控妹妹X克蘇魯──在名為「常理」的是非題中，絕對無法打上圈的故事。"
魔法糖果騎士(01),瀰霜,奇幻科幻,完結,0,飛燕文創,奇幻,科幻,,,,https://mojoin.com/novels/3314,"這個小鎮，據說精靈會從迷你小門來到家中，實現人們的願望。
可惜是許願的方式不對嗎？
渴望朋友的歌莉，怎麼由害羞少女變成魔法少女了？
同時小鎮還出現一連串怪事──巧克力一夜間全部失竊、薄荷迷霧令人徹夜失眠、幽靈搗蛋嚇得人心惶惶……
歌莉無奈披上華麗澎澎裙，認命肩負守護小鎮的重任！
咦？哪裡來的神秘少年，看起來很冷酷卻會主動來幫忙？
什麼──他就是邪惡主謀？
他究竟有什麼企圖？歌莉實在搞不懂啦！

「下次一定要抓住他，把原因問個清楚才行。」"
這樣的學園，沒問題嗎？(09)神所眷顧的世界,初雲,奇幻科幻,完結,209,飛燕文創,奇幻,科幻,,,,https://mojoin.com/novels/3287,"「先回安全的地方等我，拜託！」
即使梅悠苦苦哀求，柯爾卻執意握緊她的手，「我絕不會在這種時候丟下妳，絕不。」

戰爭結束之際，被稱為「神之怒」的魔物海嘯卻忽然襲向整個世界！

轉眼之間，萬千魔物已迫至城下，梅悠與柯爾等人被困在王城中，身邊是這國家曾經的重臣與無數傷患。

冰冷的死亡近在咫尺，究竟該怎麼做，才能保護自己深愛的人？

王子、伊兒雪、洛方等人，這時也面對最艱困的考驗──眼前是這世上最致命的敵人，身邊是最不想失去的夥伴，該怎麼做才能全身而退？

黑夜如此漫長，黎明是否能如期到來呢？"
未知領域(01)伊都娜蘋果,小山羊,奇幻科幻,完結,249,飛燕文創,奇幻,科幻,,,,https://mojoin.com/novels/3461,"隱藏的區域、奇異的人群、無人道的犯罪以及連續殺人事件，一個未曾注意卻又貼近你我的生活，前所未有的故事就此展開。
這是個在臺面下鬥爭的故事。
少年林品哲，一次迷路中進入了他不該進去的區域：暗藏在巷道的奇妙空間：看似普通的街道，沒有人、沒有垃圾，卻感受到受人監視的壓力。

－－「未知領域」－－
知情的人都這麼稱呼他。一般人絕對不會知道，隱藏在這個和諧社會底下，無人知曉、沒有法律、沒有道德標準，純粹憑著才能與戰鬥技巧生存的地方。
對這個環境感到好奇的林品哲，利用自己駭客的才能為交易，與知情者深入交往，卻沒料到，越瞭解「未知領域」，就知道殘酷的真相－－
同時，也將自己逼入危險絕境之中。"
顛覆童話(03)泡沫與糖果屋(END),草子信,奇幻科幻,完結,143,飛燕文創,奇幻,,,,,https://mojoin.com/novels/2459,"由妳來告訴我，愛上一個人是什麼樣的感覺。

臨海大國尤諾里的第一王子，被傳說中的人魚拯救，
而美麗人魚少女的出現，也頓時成為轟動全國的消息，
但這對米拉來說，絕對不是什麼好事。

她不過是很普通地救了落海的人，誰知道那是王子，
而且現在還因為這件事，不得不假扮成宰相格雷姆的護衛，
來到王宮這種讓她最討厭的地方展開調查，
結果沒想到冒牌貨居然是自己的子民，還相當迷戀王子，
接踵而來的事實讓她頭疼不已。

原本不懂愛情的米拉，看著陷入愛戀的夏琪卡，
想起的是格雷姆那張令她心煩意亂的笑臉。
在她意識到自己對格雷姆產生愛意的同時，
也不得不向他坦白，自己究竟是什麼人。

人魚公主愛上人類，但她知道那是不切實際的夢，
捨棄尾鰭選擇雙腿，以巨大的代價換來人類身軀的人魚
在被心愛的人背叛後流下悲傷的淚水，
她不願讓這份痛苦成為仇恨，選擇沉入海底化作泡沫。
──然而這並不是故事的終章。"
我應該拯救你，還是該讓你被殺？,小猴王,奇幻科幻,完結,450,原創星球,驚悚,生存,日常,校園,穿越,https://mojoin.com/novels/3621,喜歡獵奇並不是什麼大不了的事情。畢竟這些都是虛構出來的。只要這些東西乖乖存在於二次元，對現實就一點影響都不會有。是這樣沒錯的……對吧？
異世人生,覓福,奇幻科幻,完結,1,原創星球,冒險,搞笑,穿越,,,https://mojoin.com/novels/543,"世界末日降臨，擁有「異能」的高中生白鳳炎，與兩位青梅竹馬一起被自稱「創世神」的面具男子邀請至異世界。
以為能在異世界度過輕鬆打怪、尋寶、與異世界美少女玩樂的日常，卻突然被強制進行一年的武學修練！
好不容易修練結束，又得在路邊擺小吃攤存錢，應付個性古怪的客人！

對於異世界生活瘋狂吐槽的白鳳炎，終於邂逅令他一見鍾情的白翼美女寒鴞雪。
不料兩人的相遇，牽動出一場神話般跨越百年的愛恨情仇，帶出白鳳炎神秘的身世。
同時，白鳳炎的兩位青梅竹馬也捲入大國間的戰爭，甚至影響整個世界的存亡──

「因為你們需要那個世界，而那個世界也需要你們。」
身懷奇特治癒之力的吐槽役青年、有著白色翅膀的偽冰山美人、擁有怪力和臺灣國語腔的偽娘、身為凡人但外表帥氣的金髮女子。
四人共同打造的異世界奇幻故事，正式揭開序幕！"
鍾馗 鬼王事件簿(01)這個鍾馗很另類,暮辰,奇幻科幻,完結,1,飛燕文創,奇幻,科幻,,,,https://mojoin.com/novels/3482,"「鍾馗嫁妹」往事入夢來，夢見之人還是本代鍾馗傳承者。這，隱藏了怎樣的玄機？
杜財神府夫妻失和，遣盡下人、閉門謝客。這，又是否意味兩者之間具有某種未知聯繫？
一面古銅鏡，牽起鎮守小蓬萊的鍾馗返鄉心思。然而，孩提時的故居乍看如舊，山雨欲來的徵兆卻是掩也掩不住。
潛伏在杜府平靜表象下的陰影，正欲將「祭品」逐一侵吞……"
皇家騎士團屠龍筆記,艾傑葉林,奇幻科幻,完結,0,原創星球,奇幻,科幻,,,,https://mojoin.com/novels/3584,"二十幾年前 ，一位美麗的公主被惡龍囚禁，一位勇敢的少年騎士前去營救，成為不朽的傳說，少年也因此被國王召進皇家騎士團中。
然而，一場陰謀使得少年被流放，從此失去蹤跡。
七年後，現任騎士團團長找上風光不再的青年，說明王國大陸因探測到再度甦醒的龍息而動盪不安，要求青年同皇家騎士團一起執行任務。
而騎士團團長當年正是青年麾下的副官，對於多年後明顯有病的前長官感到十分嫌棄，青年也看這小白眼狼非常不順眼，兩人仍得找回當年默契，好好出發......

一個你看我有病，我看你不爽的故事。一個提到想當年就玻璃心的故事。
「有病的傢伙！」
「小白眼狼！」"
魔王真命苦(01)魔王繼承人,上善若水,奇幻科幻,完結,10,飛燕文創,奇幻,科幻,,,,https://mojoin.com/novels/2993,"征服世界，是魔王的職責和義務──
患有嗜睡症的魔王繼承人莫林，為了繼承老爹的偉大志向，
發誓要成為讓整個大陸顫抖、最有職業道德的大魔王，決定踏上征服世界的邪惡旅程！
但是才剛走出魔界，他就遇到了熱愛搶劫的魔龍納塔斯，
並且意外砸死了教廷主教，立刻變成了勇者和教廷騎士團的討伐目標。
魔王的生活，果然是心酸得讓人喘不過氣，莫林又將如何面對種種危機？
苦命魔王與他的天兵夥伴們，即將在大陸上掀起最無厘頭的冒險物語！"
闇騎士Ⅱ(05)他歸去、她歸來,暮辰,奇幻科幻,完結,0,飛燕文創,奇幻,科幻,,,,https://mojoin.com/novels/3556,"打著冥王旗號的神秘商隊來到魔界，裡頭卻藏著一票種族大融合的成員？
這樣危險的組合也能安然通過關口檢查，叫人不得不感慨，這位四界中最神秘的王者確實名不虛傳。只不過，馮勒似乎被冥王的名號，弄得有些火大？
身在魔界，牽扯著昔日恩怨的麻煩不可避免找上門來，導致商團內部到外頭，有些人就連續燒起好幾把心頭火……
面對接踵而至的舊人、舊事、舊情，洛特要如何見招拆招？好好站穩他重返魔界的第一步！"
